Drug,Recall_2022,Precision_2022,F1_2022,Support_2022
lactulose,1.0,0.8411214953271028,0.9137055837563451,90.0
tiotropium,1.0,0.9975429975429976,0.998769987699877,406.0
colchicine,1.0,1.0,1.0,168.0
no prescriptions,1.0,1.0,1.0,10040.0
senna,1.0,0.9821428571428571,0.990990990990991,55.0
tamsulosin,0.9990507831039392,0.9864104967197751,0.9926904032067908,2107.0
aspirin,0.9791937581274383,0.9216646266829865,0.9495586380832283,1538.0
norethindrone,0.9727626459143969,0.6830601092896175,0.8025682182985554,257.0
alendronate,0.967741935483871,0.9854014598540146,0.976491862567812,558.0
fenofibrate,0.9538714991762768,0.7219451371571073,0.8218594748048261,607.0
chlorhexidine,0.9010989010989011,1.0,0.9479768786127167,91.0
anastrozole,0.8930041152263375,0.4419551934826884,0.5912806539509536,243.0
albuterol,0.8870872058532727,0.8554538520213577,0.870983399669935,5057.0
clavulanate,0.875,0.9333333333333333,0.9032258064516129,16.0
gemfibrozil,0.865546218487395,0.4835680751173709,0.6204819277108434,119.0
ondansetron,0.861038961038961,0.8554838709677419,0.858252427184466,770.0
gabapentin,0.8596033402922756,0.6695121951219513,0.7527422303473492,3832.0
azithromycin,0.8490853658536586,0.8227474150664698,0.8357089272318079,656.0
linaclotide,0.848780487804878,1.0,0.9182058047493403,205.0
methotrexate,0.839041095890411,0.1416184971098266,0.2423343224530168,292.0
finasteride,0.8347934918648311,0.3368686868686869,0.48002878733357324,799.0
carvedilol,0.8191167574107683,0.7141350210970464,0.7630318399549169,1653.0
sumatriptan,0.7820773930753564,0.8590604026845637,0.8187633262260128,491.0
glimepiride,0.7613333333333333,0.5153429602888087,0.6146393972012917,750.0
fluconazole,0.7581227436823105,0.6542056074766355,0.7023411371237458,277.0
celecoxib,0.7509578544061303,0.7101449275362319,0.7299813780260708,522.0
nitroglycerin,0.743801652892562,0.1274787535410765,0.21765417170495768,242.0
hydrochlorothiazide,0.7415088668470093,0.40898541114058357,0.5271930761833529,3327.0
lorazepam,0.7185289957567186,0.3227445997458704,0.4454186760192898,707.0
methylprednisolone,0.674074074074074,0.8348623853211009,0.7459016393442623,270.0
benzonatate,0.6685082872928176,0.7181008902077152,0.6924177396280401,362.0
tizanidine,0.6622023809523809,0.5727155727155727,0.6142167011732229,672.0
cefdinir,0.6476683937823834,0.8503401360544217,0.7352941176470589,193.0
methylphenidate,0.6311475409836066,0.4003466204506066,0.4899257688229056,1098.0
ramipril,0.6222222222222222,0.6222222222222222,0.6222222222222222,180.0
amoxicillin,0.615793470007593,0.5570054945054945,0.5849260728452939,1317.0
diltiazem,0.6134453781512605,0.4697554697554698,0.532069970845481,595.0
dorzolamide,0.6096256684491979,1.0,0.7574750830564784,187.0
doxycycline,0.5873015873015873,0.40846366145354185,0.48182311448724907,756.0
lansoprazole,0.5594405594405595,0.0935672514619883,0.16032064128256512,143.0
doxazosin,0.5572139303482587,0.5308056872037915,0.5436893203883495,201.0
phentermine,0.556420233463035,0.5983263598326359,0.5766129032258065,257.0
atorvastatin,0.5546842325386867,0.2821058229194363,0.37399978850153337,9564.0
allopurinol,0.5529225908372828,0.3287928604978863,0.41237113402061853,1266.0
ciclopirox,0.5512820512820513,1.0,0.7107438016528925,78.0
pregabalin,0.5445402298850575,0.6054313099041534,0.573373676248109,696.0
promethazine,0.5333333333333333,0.40540540540540543,0.46065259117082535,225.0
clindamycin,0.5100671140939598,0.9325153374233128,0.6594360086767896,298.0
moxifloxacin,0.5084745762711864,0.9090909090909091,0.6521739130434783,59.0
docusate,0.49554896142433236,0.2259810554803789,0.3104089219330855,337.0
levetiracetam,0.4954954954954955,0.05759162303664921,0.10318949343339587,444.0
rizatriptan,0.49504950495049505,0.6756756756756757,0.5714285714285714,202.0
methocarbamol,0.48863636363636365,0.3536184210526316,0.41030534351145037,440.0
cephalexin,0.4881889763779528,0.6004842615012107,0.5385450597176982,508.0
diazepam,0.4876543209876543,0.22701149425287356,0.30980392156862746,324.0
nifedipine,0.4871060171919771,0.2951388888888889,0.3675675675675676,349.0
apixaban,0.4798598949211909,0.591792656587473,0.5299806576402321,1713.0
ciprofloxacin,0.46638655462184875,0.2733990147783251,0.3447204968944099,238.0
nortriptyline,0.46190476190476193,0.1624790619765494,0.24039653035935563,210.0
fexofenadine,0.4574468085106383,0.28104575163398693,0.3481781376518219,94.0
montelukast,0.45017482517482516,0.24252413468330586,0.3152257077276205,2288.0
guaifenesin,0.43661971830985913,0.09748427672955975,0.15938303341902313,71.0
amiodarone,0.4351145038167939,0.15159574468085107,0.22485207100591717,131.0
amlodipine,0.42289831865492394,0.30795242537313433,0.3563862087578436,6245.0
ketoconazole,0.41832669322709165,0.8677685950413223,0.5645161290322581,251.0
acetaminophen,0.4126984126984127,0.36619718309859156,0.3880597014925373,630.0
oxycodone,0.40476190476190477,0.42697674418604653,0.41557265731100046,1134.0
morphine,0.4010989010989011,0.29918032786885246,0.3427230046948357,364.0
pioglitazone,0.40096618357487923,0.24198250728862974,0.3018181818181818,414.0
hydromorphone,0.3951612903225806,0.3656716417910448,0.3798449612403101,124.0
dexamethasone,0.38392857142857145,0.24855491329479767,0.3017543859649123,112.0
terbinafine,0.38202247191011235,0.5862068965517241,0.46258503401360546,89.0
diphenhydramine,0.375,0.16666666666666666,0.23076923076923078,96.0
memantine,0.3665338645418327,0.2958199356913183,0.3274021352313167,251.0
sildenafil,0.36531365313653136,0.49748743718592964,0.42127659574468085,271.0
loperamide,0.3617021276595745,0.6296296296296297,0.4594594594594595,47.0
