Drug,Mean_Recall_XGBoost_Super
no prescriptions,1.0
tiotropium,0.9996039603960396
colchicine,0.9956284153005465
lactulose,0.9949999999999999
aspirin,0.9812046529930235
mupirocin,0.8727151327386358
azithromycin,0.8085335458727061
tamsulosin,0.7611449451887942
lidocaine,0.7536539524599226
fenofibrate,0.7508158176909066
ciclopirox,0.7507562008469449
norethindrone,0.7386834004262373
nitroglycerin,0.7301078875286489
amoxicillin,0.7288500336247478
chlorhexidine,0.7280993278566094
methylprednisolone,0.7267508113956005
sumatriptan,0.7186021758372266
senna,0.7105617977528089
fexofenadine,0.6867482161060143
anastrozole,0.6711671312568174
linaclotide,0.6439232409381663
methotrexate,0.6415192300734469
albuterol,0.6395587435669168
alendronate,0.635779023905986
moxifloxacin,0.6345864661654135
diltiazem,0.6335051546391752
ofloxacin,0.6329831932773109
dorzolamide,0.6197368421052631
clobetasol,0.6088499205250474
ondansetron,0.6037926892875428
hydrocortisone,0.57150099535501
gemfibrozil,0.5633953880334024
carvedilol,0.5573643410852712
apixaban,0.5540467424152448
finasteride,0.5424044158150934
hydrochlorothiazide,0.5337823010740015
glimepiride,0.5304687978068511
mometasone,0.5119385342789599
fluconazole,0.5050980392156863
tizanidine,0.500926399182213
gabapentin,0.4580051560693848
methylphenidate,0.4517538260783229
medroxyprogesterone,0.4400715883668903
ketoconazole,0.44006941334527544
doxazosin,0.41572899686986703
loperamide,0.41293532338308453
venlafaxine,0.39987588635785787
methocarbamol,0.3979594228374716
budesonide,0.3951634042193379
lorazepam,0.3908866995073892
memantine,0.3785014004738801
pregabalin,0.37507522717116043
prednisolone,0.3722211243948227
oxycodone,0.3682970788326584
promethazine,0.36793893129770994
terbinafine,0.36234271333790896
levetiracetam,0.35978879502000893
montelukast,0.3514199713230807
atorvastatin,0.34987826236808867
guanfacine,0.34787234042553195
doxycycline,0.34469482156155123
lansoprazole,0.344617024516522
oxcarbazepine,0.3265822784810127
irbesartan,0.3228567934450287
valsartan,0.3169280682239525
pioglitazone,0.30498687664041996
morphine,0.3044564232064232
benzonatate,0.302027027027027
celecoxib,0.3017543859649123
cyclobenzaprine,0.30122084984845643
minocycline,0.29750031246094244
acetaminophen,0.29320535451603413
clindamycin,0.2874391277774492
diphenhydramine,0.28670509818050804
fluticasone,0.2866625212570012
docusate,0.2853724098334986
amlodipine,0.28338368580060425
clonidine,0.28274255350016075
cephalexin,0.2812351769926539
loratadine,0.2811415149220148
cefdinir,0.28076923076923077
fluoxetine,0.2805194805194805
lisdexamfetamine,0.27922036876671114
risperidone,0.2780826558265583
famotidine,0.2712298615387671
dicyclomine,0.2680421998435173
triamcinolone,0.2678054627964723
nortriptyline,0.26211135663378043
glipizide,0.26127034340170485
ramipril,0.2580267558528428
meclizine,0.25495155532891384
clonazepam,0.2490755795548528
sulindac,0.24781609195402296
mirtazapine,0.2462256260391999
cyproheptadine,0.24603508771929822
donepezil,0.24551768124158455
rizatriptan,0.24132836747361885
bupropion,0.23928507650472824
warfarin,0.23705140640155192
