Drug,Recall_thresh,Precision_thresh,F2_thresh,Support
lactulose,1.0,0.8411214953271028,0.9137055837563451,90.0
gemfibrozil,1.0,0.37658227848101267,0.5471264367816092,119.0
colchicine,1.0,1.0,1.0,168.0
clavulanate,1.0,0.4444444444444444,0.6153846153846154,16.0
no prescriptions,1.0,1.0,1.0,10040.0
tiotropium,1.0,0.9975429975429976,0.998769987699877,406.0
senna,1.0,0.9821428571428571,0.990990990990991,55.0
tamsulosin,0.9990507831039392,0.9924563884959925,0.9957426679280984,2107.0
aspirin,0.976592977893368,0.9369931378665003,0.9563833174148361,1538.0
norethindrone,0.9727626459143969,0.5070993914807302,0.6666666666666666,257.0
alendronate,0.9659498207885304,0.9944649446494465,0.98,558.0
linaclotide,0.9560975609756097,1.0,0.9775561097256857,205.0
fenofibrate,0.9538714991762768,0.75390625,0.8421818181818181,607.0
anastrozole,0.9176954732510288,0.4137291280148423,0.5703324808184144,243.0
chlorhexidine,0.9010989010989011,0.9879518072289156,0.9425287356321839,91.0
albuterol,0.8870872058532727,0.8997192137986362,0.8933585581997411,5057.0
azithromycin,0.8307926829268293,0.8569182389937107,0.8436532507739938,656.0
finasteride,0.8297872340425532,0.3020501138952164,0.44288577154308617,799.0
methotrexate,0.8287671232876712,0.11747572815533981,0.20578231292517007,292.0
moxifloxacin,0.8135593220338984,0.8727272727272727,0.8421052631578947,59.0
ondansetron,0.7987012987012987,0.8785714285714286,0.8367346938775511,770.0
carvedilol,0.794313369630974,0.6624621594349143,0.7224209078404402,1653.0
sumatriptan,0.7861507128309573,0.8792710706150342,0.8301075268817204,491.0
fluconazole,0.7617328519855595,0.5994318181818182,0.670906200317965,277.0
celecoxib,0.7509578544061303,0.6782006920415224,0.7127272727272728,522.0
trimethoprim,0.75,0.75,0.75,4.0
gabapentin,0.75,0.8477876106194691,0.7959014123511493,3832.0
nitroglycerin,0.7479338842975206,0.09536354056902002,0.1691588785046729,242.0
benzonatate,0.7265193370165746,0.6173708920187794,0.6675126903553299,362.0
ramipril,0.7055555555555556,0.39197530864197533,0.503968253968254,180.0
glimepiride,0.7013333333333334,0.563169164882227,0.6247030878859857,750.0
doxazosin,0.6915422885572139,0.4212121212121212,0.5235404896421846,201.0
hydrochlorothiazide,0.6720769461977758,0.4119380987472365,0.5107938320959452,3327.0
lorazepam,0.6704384724186704,0.31983805668016196,0.433074463225217,707.0
methylprednisolone,0.6555555555555556,0.8082191780821918,0.7239263803680982,270.0
cefdinir,0.6476683937823834,0.8561643835616438,0.7374631268436578,193.0
dorzolamide,0.6470588235294118,1.0,0.7857142857142857,187.0
tizanidine,0.6398809523809523,0.560625814863103,0.5976372480889507,672.0
tobramycin,0.6274509803921569,0.27350427350427353,0.38095238095238093,51.0
docusate,0.6201780415430267,0.19280442804428044,0.2941590429275158,337.0
lansoprazole,0.6153846153846154,0.0842911877394636,0.14827295703454085,143.0
fexofenadine,0.6063829787234043,0.30158730158730157,0.4028268551236749,94.0
methylphenidate,0.6056466302367942,0.4557916381082934,0.5201407899882675,1098.0
cephalexin,0.5984251968503937,0.532399299474606,0.5634847080630213,508.0
diltiazem,0.5865546218487395,0.4774281805745554,0.526395173453997,595.0
promethazine,0.5777777777777777,0.23679417122040072,0.3359173126614987,225.0
phentermine,0.5680933852140078,0.553030303030303,0.5604606525911708,257.0
morphine,0.5659340659340659,0.34563758389261745,0.42916666666666664,364.0
clindamycin,0.5604026845637584,0.8882978723404256,0.6872427983539094,298.0
allopurinol,0.5600315955766193,0.3408653846153846,0.4237895995218171,1266.0
pregabalin,0.5517241379310345,0.6124401913875598,0.5804988662131519,696.0
ciclopirox,0.5512820512820513,1.0,0.7107438016528925,78.0
rizatriptan,0.5445544554455446,0.6043956043956044,0.5729166666666666,202.0
guaifenesin,0.5352112676056338,0.05142083897158322,0.09382716049382717,71.0
methocarbamol,0.5340909090909091,0.3555219364599092,0.4268846503178928,440.0
ezetimibe,0.5238095238095238,0.09104186952288218,0.15512235586893405,714.0
doxycycline,0.5132275132275133,0.4024896265560166,0.4511627906976744,756.0
terbinafine,0.5056179775280899,0.371900826446281,0.42857142857142855,89.0
nortriptyline,0.49523809523809526,0.11441144114411442,0.18588025022341376,210.0
nifedipine,0.49283667621776506,0.2950257289879931,0.36909871244635195,349.0
ciprofloxacin,0.49159663865546216,0.3038961038961039,0.3756019261637239,238.0
dexamethasone,0.4732142857142857,0.1308641975308642,0.20502901353965183,112.0
memantine,0.4701195219123506,0.21493624772313297,0.295,251.0
nitrofurantoin,0.4699248120300752,0.5165289256198347,0.4921259842519685,266.0
diazepam,0.4660493827160494,0.18214716525934863,0.2619254119687771,324.0
amiodarone,0.46564885496183206,0.12896405919661733,0.20198675496688742,131.0
levetiracetam,0.4617117117117117,0.05139132614690398,0.09248815700428603,444.0
medroxyprogesterone,0.45588235294117646,0.04397163120567376,0.08020698576972833,68.0
amoxicillin,0.4525436598329537,0.6240837696335079,0.5246478873239436,1317.0
apixaban,0.45183887915936954,0.5789080029917726,0.5075409836065574,1713.0
sildenafil,0.45018450184501846,0.4357142857142857,0.44283121597096187,271.0
acetaminophen,0.44761904761904764,0.4862068965517241,0.46611570247933887,630.0
hydromorphone,0.4274193548387097,0.3063583815028902,0.3569023569023569,124.0
diphenhydramine,0.4270833333333333,0.08506224066390042,0.14186851211072665,96.0
pioglitazone,0.4251207729468599,0.24478442280945759,0.3106796116504854,414.0
levocetirizine,0.42474916387959866,0.07577565632458234,0.12860759493670887,299.0
ketoconazole,0.41832669322709165,0.8677685950413223,0.5645161290322581,251.0
mupirocin,0.40756302521008403,0.9897959183673469,0.5773809523809523,238.0
torsemide,0.3768844221105528,0.021557918942224776,0.040783034257748776,199.0
loperamide,0.3617021276595745,0.288135593220339,0.32075471698113206,47.0
meclizine,0.3554987212276215,0.31026785714285715,0.33134684147794996,391.0
lisdexamfetamine,0.35315985130111527,0.7450980392156863,0.4791929382093317,538.0
oxycodone,0.3509700176366843,0.46386946386946387,0.39959839357429716,1134.0
irbesartan,0.3333333333333333,0.07086614173228346,0.11688311688311688,216.0
hydrocortisone,0.32894736842105265,0.029940119760479042,0.054884742041712405,152.0
ketorolac,0.31690140845070425,0.2459016393442623,0.27692307692307694,142.0
olanzapine,0.31135531135531136,0.05537459283387622,0.09402654867256637,273.0
tadalafil,0.3038461538461538,0.09122401847575058,0.14031971580817051,260.0
atenolol,0.30257936507936506,0.941358024691358,0.45795795795795796,1008.0
pramipexole,0.29775280898876405,0.6708860759493671,0.41245136186770426,178.0
etodolac,0.29411764705882354,0.0045045045045045045,0.008873114463176575,17.0
risperidone,0.29,0.22715404699738903,0.2547584187408492,300.0
oxcarbazepine,0.2875,0.31363636363636366,0.3,240.0
venlafaxine,0.2840909090909091,0.3464818763326226,0.3121998078770413,1144.0
famotidine,0.2753623188405797,0.1878999418266434,0.22337482710926695,1173.0
lovastatin,0.27380952380952384,0.03819329126536034,0.06703584960652871,420.0
fluoxetine,0.26393141457440294,0.4982658959537572,0.3450760608486789,1633.0
donepezil,0.26373626373626374,0.036294896030245744,0.06380857427716849,364.0
sitagliptin,0.26371951219512196,0.12321937321937322,0.1679611650485437,656.0
sulindac,0.2608695652173913,0.014742014742014743,0.027906976744186046,23.0
valsartan,0.2549019607843137,0.8931297709923665,0.39661016949152544,459.0
montelukast,0.24737762237762237,0.24944909651829,0.24840904103576913,2288.0
zolpidem,0.2336448598130841,0.6309148264984227,0.3410059676044331,856.0
lamotrigine,0.23222748815165878,0.4688995215311005,0.31061806656101426,844.0
clobetasol,0.23106060606060605,0.0070010329392861245,0.013590286287178345,264.0
clonidine,0.23014018691588786,0.07317979197622586,0.11104847801578353,856.0
aripiprazole,0.2277992277992278,0.08076659822039699,0.1192521475492673,518.0
glipizide,0.22741679873217116,0.1823379923761118,0.20239774330042312,1262.0
pantoprazole,0.2272906016515926,0.4877637130801688,0.31008583690987124,2543.0
solifenacin,0.2230769230769231,0.02443133951137321,0.04403948367501898,130.0
fluticasone,0.2222811671087533,0.6629746835443038,0.33293603496225666,1885.0
ropinirole,0.2175141242937853,0.09974093264248704,0.13676731793960922,354.0
clonazepam,0.21686746987951808,0.47030878859857483,0.29685157421289354,913.0
acyclovir,0.21646341463414634,0.07015810276679842,0.10597014925373134,328.0
dicyclomine,0.21052631578947367,0.13530655391120508,0.16473616473616473,304.0
lidocaine,0.2077922077922078,0.128,0.15841584158415842,77.0
hydroxychloroquine,0.20582120582120583,0.3694029850746269,0.2643524699599466,481.0
telmisartan,0.20121951219512196,0.012910798122065728,0.02426470588235294,164.0
cyclobenzaprine,0.1956896551724138,0.4010600706713781,0.2630359212050985,1160.0
hydroxyzine,0.195357833655706,0.41478439425051333,0.2656147271531887,1034.0
loratadine,0.1866840731070496,0.19888734353268428,0.1925925925925926,766.0
mirabegron,0.17989417989417988,0.05222734254992319,0.08095238095238096,189.0
hydralazine,0.17836812144212524,0.2367758186397985,0.20346320346320346,527.0
ofloxacin,0.17791411042944785,0.031453362255965296,0.053456221198156684,163.0
verapamil,0.17488789237668162,0.23493975903614459,0.20051413881748073,223.0
mirtazapine,0.1704781704781705,0.10621761658031088,0.13088587390263368,481.0
atorvastatin,0.16258887494772062,0.4279031370390754,0.23564176390362176,9564.0
pseudoephedrine,0.16129032258064516,0.10204081632653061,0.125,31.0
warfarin,0.15902964959568733,0.2114695340501792,0.18153846153846154,742.0
metronidazole,0.14925373134328357,0.4,0.21739130434782608,335.0
rivaroxaban,0.14565826330532214,0.12037037037037036,0.13181242078580482,714.0
prednisone,0.14496833216045038,0.5061425061425061,0.22538293216630198,1421.0
ibuprofen,0.14406130268199233,0.5340909090909091,0.22691611345805673,1305.0
nebivolol,0.14285714285714285,0.01870503597122302,0.03307888040712468,182.0
metoprolol,0.1420936232952451,0.44903902154921377,0.21587568248635028,5426.0
prednisolone,0.13975155279503104,0.7627118644067796,0.23622047244094488,322.0
propranolol,0.13624338624338625,0.031624194043598404,0.05133316720657862,756.0
oxybutynin,0.12871287128712872,0.09259259259259259,0.10770505385252693,505.0
buspirone,0.11854103343465046,0.3314447592067989,0.1746268656716418,987.0
budesonide,0.11587982832618025,0.1875,0.14323607427055704,233.0
baclofen,0.10915492957746478,0.09451219512195122,0.10130718954248366,568.0
naproxen,0.10551181102362205,0.07957244655581948,0.0907244414353419,635.0
losartan,0.10448107731599722,0.26056745801968734,0.14915478952601924,4307.0
atomoxetine,0.10101010101010101,0.1282051282051282,0.11299435028248588,99.0
chlorthalidone,0.09302325581395349,0.12256267409470752,0.10576923076923077,473.0
ethinyl estradiol,0.09090909090909091,0.05555555555555555,0.06896551724137931,22.0
valacyclovir,0.08816705336426914,0.13240418118466898,0.10584958217270195,431.0
desvenlafaxine,0.08275862068965517,0.021778584392014518,0.034482758620689655,145.0
labetalol,0.07801418439716312,0.061452513966480445,0.06875,141.0
topiramate,0.07051282051282051,0.07357859531772576,0.07201309328968904,624.0
enalapril,0.06645569620253164,0.0286493860845839,0.04003813155386082,316.0
pravastatin,0.058362989323843414,0.04895522388059702,0.053246753246753244,1405.0
levofloxacin,0.05785123966942149,0.1891891891891892,0.08860759493670886,121.0
benazepril,0.05723905723905724,0.008717948717948718,0.015131286159323543,297.0
paroxetine,0.0549645390070922,0.03575547866205306,0.04332634521313766,564.0
amlodipine,0.0533226581265012,0.392226148409894,0.09388215393290104,6245.0
dexmethylphenidate,0.05234159779614325,0.1557377049180328,0.07835051546391752,363.0
quetiapine,0.05212620027434842,0.2992125984251969,0.08878504672897196,729.0
fluorouracil,0.05172413793103448,1.0,0.09836065573770492,58.0
rosuvastatin,0.04455611390284757,0.07701215981470759,0.056451612903225805,2985.0
indomethacin,0.044444444444444446,0.014705882352941176,0.022099447513812154,45.0
